date,symbol,open,high,low,close,source
2026-09-21,BOP,31.75,31.75,30.90,30.97,stockanalysis.com/quote/psx/BOP/history/
2026-09-22,BOP,31.10,31.15,30.65,30.77,stockanalysis.com/quote/psx/BOP/history/
2026-09-23,BOP,30.85,31.15,30.75,30.82,stockanalysis.com/quote/psx/BOP/history/
2026-09-24,BOP,30.82,30.83,30.45,30.56,psx.com.pk/market-summary/
2026-09-21,DGKC,197.99,198.75,195.11,196.27,stockanalysis.com/quote/psx/DGKC/history/
2026-09-22,DGKC,197.01,201.22,195.53,200.22,stockanalysis.com/quote/psx/DGKC/history/
2026-09-23,DGKC,202.25,203.40,199.05,199.97,stockanalysis.com/quote/psx/DGKC/history/
2026-09-24,DGKC,199.51,199.51,195.20,195.71,psx.com.pk/market-summary/
2026-09-21,PPL,230.01,231.50,228.00,228.39,stockanalysis.com/quote/psx/PPL/history/
2026-09-22,PPL,228.02,231.89,226.50,230.51,stockanalysis.com/quote/psx/PPL/history/
2026-09-23,PPL,232.38,233.49,231.26,232.83,stockanalysis.com/quote/psx/PPL/history/
2026-09-24,PPL,232.83,236.50,230.55,231.45,psx.com.pk/market-summary/
2026-09-21,UBL,432.80,433.00,427.70,428.61,stockanalysis.com/quote/psx/UBL/history/
2026-09-22,UBL,430.02,432.00,426.52,429.07,stockanalysis.com/quote/psx/UBL/history/
2026-09-23,UBL,432.00,433.00,429.00,432.68,stockanalysis.com/quote/psx/UBL/history/
2026-09-24,UBL,432.89,432.89,425.01,426.26,psx.com.pk/market-summary/
2026-09-25,BOP,30.51,30.69,30.23,30.35,psx.com.pk/market-summary/
2026-09-25,DGKC,195.1,197.0,193.5,195.54,psx.com.pk/market-summary/
2026-09-25,PPL,231.51,233.65,230.11,231.68,psx.com.pk/market-summary/
2026-09-25,UBL,426.0,429.0,423.0,427.47,psx.com.pk/market-summary/
